  wavelength transmission
3.00000000E+02 9.99848378E+01
1.34264232E+03 9.99848378E+01
1.34680135E+03 9.99642175E+01
1.35116876E+03 9.99276522E+01
1.35446296E+03 9.98594233E+01
1.35648399E+03 9.97938985E+01
1.35740464E+03 9.97489669E+01
1.35906496E+03 9.97042547E+01
1.36017410E+03 9.96708692E+01
1.36276915E+03 9.95934863E+01
1.36369835E+03 9.95496057E+01
1.36407039E+03 9.95059818E+01
1.36593362E+03 9.94842690E+01
1.36742787E+03 9.95059818E+01
1.36986301E+03 9.94842690E+01
1.37193031E+03 9.94842690E+01
1.37438153E+03 9.94626237E+01
1.37551582E+03 9.94410471E+01
1.37741047E+03 9.94195404E+01
1.38007176E+03 9.93981048E+01
1.38274336E+03 9.93767414E+01
1.38427464E+03 9.93554515E+01
1.38619351E+03 9.93130969E+01
1.38773245E+03 9.92920347E+01
1.38888889E+03 9.92920347E+01
1.39043382E+03 9.93342362E+01
1.39314572E+03 9.93981048E+01
1.39431121E+03 9.94195404E+01
1.39703828E+03 9.95277611E+01
1.39840582E+03 9.94626237E+01
1.39958013E+03 9.95715145E+01
1.40075641E+03 9.96376150E+01
1.40252454E+03 9.95934863E+01
1.40370578E+03 9.95934863E+01
1.40469167E+03 9.96819833E+01
1.40567894E+03 9.96376150E+01
1.40686550E+03 9.96376150E+01
1.40884756E+03 9.96819833E+01
1.41083521E+03 9.97154117E+01
1.41282848E+03 9.97601795E+01
1.41562854E+03 9.98277365E+01
1.41843972E+03 9.98684949E+01
1.42287991E+03 9.99139714E+01
1.42673705E+03 9.99276522E+01
1.43225437E+03 9.99299340E+01
1.43719460E+03 9.99367822E+01
1.44341801E+03 9.99344990E+01
1.44948543E+03 9.99299340E+01
1.45348837E+03 9.99390659E+01
1.45518044E+03 9.99482054E+01
1.45900204E+03 9.99573524E+01
1.46498682E+03 9.99665068E+01
1.46886016E+03 9.99733775E+01
1.47579693E+03 9.99687966E+01
1.48148148E+03 9.99756687E+01
1.49745433E+03 9.99894251E+01
1.51515152E+03 9.99917195E+01
1.52905199E+03 9.99894251E+01
1.54320988E+03 9.99894251E+01
1.55763240E+03 9.99894251E+01
1.57232704E+03 9.99894251E+01
1.59337157E+03 9.99894251E+01
1.60875161E+03 9.99917195E+01
1.62760417E+03 9.99894251E+01
1.64690382E+03 9.99894251E+01
1.66333999E+03 9.99894251E+01
1.68690958E+03 9.99825448E+01
1.70068027E+03 9.99848378E+01
1.71821306E+03 9.99848378E+01
1.72890733E+03 9.99802523E+01
1.74337517E+03 9.99779603E+01
1.75438596E+03 9.99756687E+01
1.76429076E+03 9.99687966E+01
1.77683014E+03 9.99573524E+01
1.78316690E+03 9.99527780E+01
1.78954903E+03 9.99344990E+01
1.79468772E+03 9.99185297E+01
1.79856115E+03 9.99094149E+01
1.80440274E+03 9.98503598E+01
